id,full_name,Free/CC Public Domain,Free/CC BY,Free/CC0,Free/RS NKC,Free with conditions/CC BY-SA,Free with conditions/CC BY-NC,Free with conditions/CC BY-NC-ND,Free with conditions/CC BY-NC-SA,Free with conditions/InC-EDU,Restricted/RS InC,Restricted/RS InC-RUU,Restricted/RS CNE,Restricted/RS UND
ANU:ANFD,Australian National University. / Australian Newspaper Fiction Database.,0,0,0,0,0,0,0,1,0,0,0,0,0
ANU:HITL,Australian National University. / Heritage in the Limelight.,1,0,0,0,0,0,0,0,0,0,0,0,0
VANF,Australian Nursing and Midwifery Federation. / Victorian Branch Library.,0,0,0,0,0,0,0,77,0,0,0,0,0
APC:WC,Australian Paralympic Committee. / Images on Wikimedia Commons.,0,0,0,0,2648,0,0,0,0,0,0,0,0
AAWM,Australian War Memorial. / Research Centre.,247664,0,0,0,0,0,0,0,0,0,0,0,0
VGKM,Australian and New Zealand College of Anaesthetists. / Geoffrey Kaye Museum of Anaesthetic History.,0,0,0,0,0,0,0,347,0,0,0,0,0
VBLM,B-24 Liberator Memorial Restoration Australia Inc.,0,0,0,0,0,0,0,128,0,0,0,0,0
VBAIRN,Bairnsdale RSL Sub Branch.,0,0,0,0,0,0,0,5,0,0,0,0,0
VBTNL,Ballarat Health Services. / Trained Nurses League.,0,0,0,0,0,0,0,1462,0,0,0,0,0
VBAH,Ballarat Heritage Services.,0,0,0,0,0,0,0,4375,0,0,0,0,0
VUB,Ballarat Regional Trades and Labour Council Inc..,0,0,0,0,0,0,0,576,0,0,0,0,0
TBMHC,Beaconsfield Mine and Heritage Centre.,0,3,0,0,0,0,0,6,0,0,0,0,0
VBA,Bendigo Art Gallery / Bendigo Art Gallery. Bendigo Art Gallery Library.,0,0,0,0,0,0,0,2,0,0,0,0,0
VBTH,Bendigo Trades Hall Council & Literary Institute Inc.,0,0,0,0,0,0,0,75,0,0,0,0,0
VBCF,Blacksmith's Cottage & Forge.,0,0,0,0,0,0,0,107,0,0,0,0,0
VRDN,Bolton Clarke Library Services.,0,0,0,0,0,0,0,193,0,0,0,0,0
QBON,Bond University. / John and Alison Kearney Library .,0,15,0,0,2,1,120,0,2,0,0,0,0
VBRI,Brighton Historical Society.,0,0,0,0,0,0,0,215,0,0,0,0,0
VCARM,CAVAL. / CARM Centre.,0,0,0,0,0,0,0,1,0,0,0,0,0
VS:PUB,CSIRO Publishing / CSIRO Publishing. scienceimage.,0,3765,0,0,0,0,0,0,0,0,0,0,0
AS:PE,CSIRO. / Black Mountain Library.,0,0,0,1,0,0,0,0,0,0,0,0,0
VCGG,Camberwell Girls Grammar School.,0,0,0,0,0,0,0,28,0,0,0,0,0
NGCL,Central Coast Library Service.,0,0,0,1,0,0,0,0,0,0,0,0,0
VBALL,Central Highlands Libraries. / Ballarat Library.,0,0,0,0,0,0,0,895,0,0,0,0,0
QCQU:IR,Central Queensland University. / Rockhampton Campus Library. / Central Queensland University: Institutional Repository.,0,1,0,0,0,0,0,0,0,0,0,0,0
XNTU,Charles Darwin University. / Casuarina Campus Library.,0,0,0,0,0,0,0,1,0,0,0,0,0
NCSU:W,Charles Sturt University. / Wagga Wagga Campus Library.,0,0,0,0,0,0,0,1,0,0,0,0,0
VCHEL,Chelsea and District Historical Society Inc..,0,0,0,0,0,0,0,8,0,0,0,0,0
VMT,Chisholm Institute.,0,0,0,1,0,0,0,0,0,0,0,0,0
VCCAP,Christ Church Anglican Parish of Warrnambool.,0,0,0,0,0,0,0,33,0,0,0,0,0
VCIHF,Churchill Island Heritage Farm.,0,0,0,0,0,0,0,1527,0,0,0,0,0
VBOR,City of Boroondara Library Service.,0,0,0,0,0,0,0,1,0,0,0,0,0
VCML,City of Melbourne Libraries.,0,0,0,0,0,0,0,1,0,0,0,0,0
VBOX,City of Moorabbin Historical Society / City of Moorabbin Historical Society. Box Cottage Museum.,0,0,0,0,0,0,0,1364,0,0,0,0,0
VMHS,City of Mordialloc Historical Society Inc. / City of Mordialloc Historical Society Inc. Mordialloc and District  Historical Society Library.,0,0,0,0,0,0,0,7,0,0,0,0,0
NSCA,City of Sydney Archives.,633,64144,0,0,0,0,0,0,0,0,0,0,0
NCHR,Coffs Collections.,0,18691,0,0,0,0,0,0,0,0,0,0,0
VCHM,Creswick Museum.,0,0,0,0,0,0,0,25,0,0,0,0,0
WCU,Curtin University. / Curtin University Library.,0,0,0,0,0,0,0,1,0,0,0,0,0
VDU,Deakin University. / Deakin University Library.,0,0,0,1,0,0,1,1,0,0,0,0,0
AEAD,Department of Foreign Affairs and Trade / Department of Foreign Affairs and Trade. H.V. Evatt Library.,0,0,0,0,0,0,1,0,0,0,0,0,0
VDVHS,Dingley Village Historical Society.,0,0,0,0,0,0,0,1,0,0,0,0,0
VEGFHG,East Gippsland Family History Group.,0,0,0,0,0,0,0,2,0,0,0,0,0
WCX,Edith Cowan University. / Edith Cowan University Library.,0,0,0,0,0,0,1,1,0,0,0,0,0
WCX:IR,Edith Cowan University. / Edith Cowan University Library. / Edith Cowan University: Institutional Repository.,0,1,0,0,0,0,0,0,0,0,0,0,0
VELTH,Eltham District Historical Society.,0,0,0,0,0,0,0,12425,0,0,0,0,0
SEPR,Eyre Pensinsula Railway Preservation Society.,0,0,0,473,0,0,0,0,0,1281,0,0,256
NFDC:W,Federal Court of Australia. / Library & Information Services (Western Australia).,0,0,0,0,0,0,1,0,0,0,0,0,0
VFED,Federation University Australia Library.,0,0,0,0,0,0,0,1,0,0,0,0,0
VFED:IR,Federation University Australia Library. / Federation Research Online.,0,3,0,0,0,0,8,0,0,0,0,0,0
VFED:A,Federation University Australia Library. / Federation University Art Collection.,0,0,0,0,0,0,0,2143,0,0,0,0,0
VFED:HC,Federation University Australia Library. / Federation University Historical Collection.,0,0,0,0,0,0,0,8474,0,0,0,0,0
VFSM,Fire Services Museum of Victoria.,0,0,0,0,0,0,0,37,0,0,0,0,0
YUF,Flickr.,19576,6787,82,0,6971,22227,18318,33889,4584,0,0,0,0
SFU,Flinders University. / Flinders University Central Library.,0,0,0,0,0,0,0,2,0,0,0,0,0
VGCC,Geelong Cycling Club.,0,0,0,0,0,0,0,94,0,0,0,0,0
VGFC,Geelong Football Club.,0,0,0,0,0,0,0,11,0,0,0,0,0
VGRSL,Geelong RSL Sub Branch.,0,0,0,0,0,0,0,227,0,0,0,0,0
VGFCJ,Genazzano F.C.J. College Library.,0,0,0,0,0,0,0,1,0,0,0,0,0
